id	choice	purpose	npersons	age	employ_status	mainearn	arrival_time	gender	rail_ivtt	rail_cost	rail_transfers	rail_acc_time	rail_egr_time	rail_acc_mode	rail_egr_mode	seat_status	car_ivtt	car_cost	car_walk_time	car_parking_fee
99	0	0	5	1	1	0	0	1	2	45	0	0.417	0.333	0	0	0	1.5	19.998	0.083	1
100	0	0	2	0	1	0	0	1	2	40	1	0.083	0.25	0	0	0	2.25	15	0.083	1
103	0	0	2	0	1	1	0	0	2	50	0	0.067	0.75	1	0	0	1.75	5.25	0.05	0
106	0	0	5	0	1	0	0	1	2	40	1	0.25	0.75	1	0	0	1.25	12	0.033	0
107	0	0	3	0	1	0	0	0	1.5	23.75	0	0.333	0.167	0	0	0	1.333	3.333	0.083	1
108	0	1	1	0	0	1	1	0	1.75	45	1	0.333	0.333	0	0	1	1.5	72	0.083	1
109	0	0	1	0	0	1	0	0	1.5	40	1	0.25	0.333	0	0	0	1.167	8	0.017	1
111	0	0	3	0	0	1	0	0	2	40	1	0.25	0.5	0	0	0	0.917	8.333	0.083	1
112	0	0	4	0	0	1	0	0	1.5	35	0	0.167	0.5	0	0	0	1.5	10	0.017	1
114	0	0	3	0	1	0	0	1	1.75	25	1	0.083	1	0	0	0	1.167	1.333	0.033	0
119	0	0	2	0	0	1	0	1	1.75	30	0	0.167	0.5	0	1	0	1.5	12.5	0.033	1
120	0	0	3	1	1	1	0	1	1.5	35	1	0.083	0.5	1	0	0	2	4.167	0.083	1
127	0	0	2	0	0	0	0	1	1.25	30	1	0.217	0.167	0	1	0	1.5	6.25	0.083	0
130	0	0	2	1	1	0	0	0	1.5	36.2	1	0.333	0.033	0	1	0	1.083	20	0.5	1
132	0	0	3	0	0	1	1	0	1.25	45	1	0.25	0.333	0	0	0	1.333	18.333	0.083	1
133	0	0	1	0	0	0	0	1	1	40	0	0.333	0.25	0	0	1	1.25	20	0.083	0
134	0	0	3	0	1	0	0	1	2	50	1	0.167	0.25	1	1	0	1.5	3.333	0	1
135	0	0	2	1	1	0	0	1	1.833	38	1	0.167	0.167	1	0	0	1.5	11.25	0.083	0
136	0	0	5	1	1	1	0	1	1.5	50	1	0.75	0.5	0	1	0	1.75	2	0.333	1
137	0	0	3	0	0	0	1	0	1.5	35	0	0.167	0.333	0	1	0	1.75	5	0.25	0
138	0	0	5	0	0	1	0	0	1.833	45	2	0.167	0.333	1	0	0	1.5	0.95	0.017	1
139	0	0	4	0	0	0	1	0	2	35	1	0.167	0.033	0	1	0	1.5	1.875	0.167	1
140	0	1	2	0	1	0	0	1	1.333	34.5	0	0.25	0.417	0	0	0	1.75	7.5	0.017	1
141	0	0	2	0	1	1	0	0	1.5	40	1	0.083	0.333	1	0	0	1.5	17.5	0.083	1
142	0	0	3	0	0	0	0	1	0.75	40	1	0.333	0.333	0	0	0	1	6.667	0.25	0
143	0	0	2	0	0	1	0	0	1.5	25	1	0.5	0.333	1	0	0	1.25	10	0	1
144	0	0	3	0	0	1	0	1	1.5	14	2	0.167	0.333	1	0	0	1.75	2.5	0.017	1
146	0	1	1	0	0	1	1	0	1.5	32	2	0.25	0.75	1	0	0	1.75	32	0.017	1
148	0	0	2	0	0	1	0	1	1.75	50	0	0.167	0.417	0	0	0	1.5	27.5	0.017	1
149	0	0	1	0	1	0	0	0	1.333	30	0	0.25	0.333	0	0	0	1.25	20	0.017	1
150	0	0	2	0	1	0	1	0	1.583	25	1	0.117	0.083	0	0	0	1.75	15	0.017	0
151	0	0	5	0	0	0	0	1	2.25	30	2	0.167	0.333	0	0	0	1.75	3	0.017	0
152	0	0	4	0	0	0	0	0	1.5	30	0	0.333	0.133	0	1	0	2	1.25	0.133	1
153	0	0	4	0	1	0	1	1	1.5	35	0	0.167	0.5	0	0	0	1.5	6.25	0.083	0
155	0	0	2	1	1	0	1	1	2	35	2	0.25	0.5	0	0	0	1.25	6.25	0.017	1
157	0	0	2	1	1	1	0	0	1.5	55	0	0.25	0.5	0	0	1	1.417	16.25	0.017	1
158	0	0	4	0	1	0	1	1	1.75	45	2	0.333	0.5	1	0	0	1.5	1.375	0.017	1
159	0	0	2	1	1	1	0	0	1.5	30	1	0.5	1	0	0	0	2	9	0.017	1
160	0	0	2	0	1	1	0	0	1.5	30	1	0.5	0.017	0	1	0	1.5	8	0.017	0
161	0	1	1	0	0	1	1	0	1.5	52.5	0	0.167	0.333	0	1	1	1.5	50	0.017	1
163	0	0	4	0	1	0	0	0	1	35	0	0.333	0.333	0	0	0	1.75	0.625	0.017	1
164	0	0	2	1	1	0	0	1	1.5	35	0	0.333	0.75	0	0	0	0.75	15	0.017	1
165	0	0	4	1	1	0	0	1	1.5	35	1	0.2	0.25	0	0	0	1.833	1.875	0.033	1
166	0	0	2	0	1	0	1	1	1.5	27	0	0.117	0.5	0	0	0	1.5	12.5	0.083	0
167	0	1	3	1	1	0	1	1	1.5	52	1	0.333	1	0	0	0	1.75	5	0.017	0
170	0	0	2	0	0	1	1	0	1.75	40	1	0.167	0.25	1	0	0	1.5	6.25	0.083	1
171	0	0	2	0	0	1	1	0	1.083	30	1	0.5	0.25	0	0	0	1.5	31.25	0.017	0
173	0	0	1	0	1	1	0	1	2	50	0	0.25	0.333	1	0	0	2	10	0.017	1
176	0	0	2	1	1	0	0	1	2	30	2	0.167	0.25	1	0	0	2	10	0.25	0
177	0	0	2	0	1	1	0	1	1.25	20	0	0.167	0.5	1	0	0	1.5	8.75	0.083	1
178	0	0	3	0	0	1	1	0	1.5	28	1	0.333	0.167	0	1	0	1.75	4	0.033	1
180	0	0	3	0	1	0	1	1	1.25	30	0	0.167	0.5	1	0	0	2	3.333	0.083	1
182	0	0	5	0	1	0	0	1	2	50	2	0.25	0.25	0	0	0	2	2	0	1
183	0	0	2	1	0	1	0	0	1.333	36.5	1	0.333	0.333	0	0	0	1.5	12.5	0.017	1
184	0	0	2	0	0	1	0	0	1.5	20	1	0.117	0.5	0	0	0	1.25	5	0.167	1
186	0	1	2	0	0	1	1	0	1.75	45	1	0.333	0.167	0	1	0	1.75	9	0.167	0
187	0	0	2	0	1	0	1	1	1.5	35	1	0.25	0.333	0	0	0	1.5	7.5	0.017	1
188	0	0	2	0	0	0	0	0	1.5	35	0	0.5	0.25	0	0	0	1.25	10	0.017	1
189	0	0	2	0	0	1	0	0	1.75	30	0	0.167	0.5	0	0	0	2.25	17.5	0.167	0
191	0	0	1	0	0	0	1	0	1.5	22.5	1	0.25	0.5	1	0	0	1.5	22	0.033	1
192	0	0	2	1	1	0	0	1	1	35	0	0.5	0.333	0	0	0	1.5	20	0.033	1
195	0	1	2	0	0	1	1	1	1.5	25	1	0.333	0.5	0	0	0	1.5	6	0.033	1
197	0	0	2	1	0	1	1	0	1	37	1	0.667	0.25	0	0	0	1.5	11	0.033	1
198	0	0	2	0	0	0	0	1	1.25	40	0	0.167	0.167	1	0	0	1.333	3.75	0.25	0
201	0	0	2	0	0	1	0	0	2	30	1	0.167	0.167	0	0	0	1.5	5.5	0.083	0
202	0	0	5	1	0	1	0	0	1.5	35	0	0.133	0.25	1	0	0	1.5	1.5	0.167	1
204	0	0	2	0	0	0	0	0	2.167	50	1	0.417	0.133	0	0	0	1.25	17.5	0	1
205	0	0	4	1	1	0	0	1	2	40	1	0.333	0.5	0	0	0	1.5	0.75	0.083	1
206	0	0	5	0	0	1	1	0	2.5	30	1	0.25	0.5	0	0	0	2	10	0.083	1
207	0	0	2	0	1	0	0	0	1	30	1	0.167	0.333	0	0	0	1.5	12.5	0.083	0
209	0	0	2	0	1	0	1	1	1.5	29	0	0.333	0.167	0	0	0	1.75	7.5	0.083	1
210	0	0	2	0	0	0	0	1	1.5	25	1	0.167	0.083	0	1	0	1.5	15	0.167	0
211	0	0	3	1	1	0	0	0	1.25	40	0	0.333	0.333	0	0	0	1.25	8.333	0.033	1
212	0	0	2	0	0	0	0	1	1.167	25	0	0.167	0.167	0	0	0	1.5	9	0.167	1
215	0	0	4	0	0	0	1	1	1.75	32.5	1	0.333	0.417	0	0	0	1.583	3.125	0	1
216	0	1	3	0	1	0	1	0	1.75	30	1	0.167	0.5	0	0	0	1.25	14.667	0.017	1
218	0	0	2	1	1	1	1	0	1.25	40	1	0.75	0.333	0	0	0	2	33.75	0.017	1
221	0	0	4	1	1	1	0	0	2	48	1	0.25	0.333	0	0	1	1.833	1.875	0.017	1
222	0	0	5	0	0	1	0	0	1.333	26.5	1	0.167	0.083	1	1	0	1.333	4.2	0.167	1
224	0	1	1	1	0	1	0	0	2	45	2	0.25	0.017	0	1	0	2	75	0.017	0
225	0	0	2	0	1	0	0	0	1.5	25	0	0.167	0.333	1	0	0	1.5	7.5	0	1
226	0	0	2	1	0	0	1	1	1.5	40	1	0.167	0.333	0	1	0	1.25	12.5	0.017	0
228	0	0	2	1	1	1	0	0	2	52	1	0.167	0.333	0	0	0	1.5	9	0.017	1
229	0	0	2	0	1	0	0	0	2	45	0	0.25	0.333	0	0	0	1.5	20	0	0
231	0	0	2	0	0	0	0	0	1.667	38	1	0.333	0.417	0	0	0	1.333	14	0.067	1
232	0	0	4	0	0	1	0	0	1.667	40	1	0.167	0.5	0	0	0	1.333	17.5	0	1
233	0	0	2	1	0	1	1	0	1.75	27	0	0.083	0.25	0	0	0	1.5	6.25	0.333	1
234	0	0	3	0	1	0	0	0	1.25	44	1	0.167	0.333	0	0	0	1.25	21.667	0.017	0
235	0	0	4	1	1	0	1	1	1	30	2	0.167	0.083	0	1	0	1.5	6.25	0.017	1
6	1	1	1	1	0	0	1	0	1.75	31.2	1	0.167	0.167	0	0	1	1.5	90	0.083	1
9	1	1	1	0	0	0	1	0	2.5	42	1	0.167	0.583	0	0	0	2	45	0.083	1
10	1	0	2	0	0	1	0	0	1.25	52	0	0.117	0.167	0	1	0	1.583	25	0.417	1
11	1	0	1	0	1	0	1	0	1.833	27	1	0.167	0.033	0	1	0	1.5	35	0.033	0
16	1	1	1	0	0	1	1	0	1.833	52.5	0	0.25	0.417	0	1	1	2	20	0.25	1
22	1	0	2	0	0	1	0	0	1.5	35	1	0.167	0.25	1	0	0	1.75	15	0.033	1
23	1	0	2	0	1	0	1	0	1.167	35	0	0.167	0.167	0	1	0	1.333	17.5	0.167	1
27	1	0	2	0	1	0	1	1	1.5	28	0	0.333	0.25	1	0	0	1.75	5	0.017	1
28	1	0	2	0	1	1	1	1	1.5	24.5	0	0.167	0.133	1	0	0	2.25	10	0.25	0
31	1	0	2	1	1	1	0	0	2	10	0	0.333	0.083	0	0	0	2.5	22.5	0.333	1
32	1	1	1	1	0	1	1	0	1.333	37	0	0.117	0.167	0	0	1	1.917	15	0.083	0
39	1	1	1	0	0	1	1	0	1.5	40	1	0.167	0.117	0	0	0	1.167	60	0.033	1
40	1	1	1	1	0	1	1	0	1.75	60	1	0.167	0.333	0	1	1	2.25	25	0	0
43	1	0	4	0	0	1	1	0	2	35	1	0.25	0.25	1	0	0	2	9.375	0.017	1
50	1	0	1	1	1	1	1	1	1.5	10	0	0.25	0.333	0	0	1	1.75	31	0.083	1
51	1	1	1	1	0	1	1	0	1.75	60.3	1	0.117	0.133	0	1	1	1.75	23	0.017	0
56	1	0	1	0	0	1	0	0	2	50	1	0.167	0.333	1	0	0	1	12	0.017	1
58	1	0	2	0	1	0	1	1	2.05	44.9	1	0.083	0.3	0	1	0	2	7.5	0.117	0
62	1	1	6	0	0	0	1	0	1.25	15	0	0.083	0.333	0	1	0	1.25	12.5	0.333	0
64	1	0	5	0	1	0	0	1	1.75	12	1	0.05	0.167	0	0	0	1.5	1.2	0.083	0
66	1	0	2	1	1	0	0	0	1.25	36.2	0	0.133	1.25	0	1	0	1.5	40	0.017	1
67	1	0	6	1	0	0	0	1	1.5	22	0	0.167	0.167	0	1	0	1.5	4.167	0.25	0
70	1	1	1	0	0	1	0	0	1.5	33	1	0.167	0.333	0	1	0	2	50	0.017	0
71	1	0	1	0	1	0	0	1	1.25	35	0	0.333	0.417	0	0	0	1.25	20	0.017	1
76	1	1	1	0	0	0	1	0	1.5	35	0	0.5	0.5	0	0	0	1.75	60	0.017	1
77	1	1	1	0	1	0	1	0	2	27	1	0.2	0.083	0	0	0	2	10	0	1
78	1	0	2	1	0	0	0	1	1.833	27	1	0.333	0.5	0	0	0	1.5	15	0.017	1
79	1	0	4	1	1	1	1	0	2	25	2	0.083	0.167	0	0	0	2	19.5	0.167	0
84	1	0	1	0	1	0	1	1	1.5	43	1	0.167	0.25	1	0	0	2.25	20	0.167	1
85	1	0	3	0	1	0	0	1	1.167	27	2	0.75	0.167	0	0	0	1.75	7.767	0.083	1
86	1	0	1	0	0	0	0	0	2	50	1	0.083	0.167	1	0	0	1.5	25	0.017	1
88	1	0	1	1	1	0	1	1	1.5	40	0	0.083	0.333	0	0	0	1.75	40	0.033	1
91	1	1	1	0	0	1	1	1	1.5	26	1	0.167	0.167	1	1	0	1.5	30	0.017	0
94	1	1	1	0	1	1	1	0	1.5	36.2	0	0.167	0.333	0	0	0	3	32	0.05	0
95	1	0	2	0	1	1	0	1	1.167	20	0	0.083	0.333	0	0	0	1.5	12.5	0.083	1
98	1	0	6	1	0	0	0	1	1.333	22	0	0.25	0.25	0	0	0	1.5	6.667	0	1
101	1	1	1	0	0	0	1	0	1.75	20	1	0.333	0.417	1	1	0	2.5	30	0.167	1
102	1	0	1	1	1	0	0	1	1.75	35	1	0.25	0.333	0	0	0	1.5	50	0.017	1
104	1	0	1	0	1	1	1	0	1.5	36	0	0.25	0.25	0	0	0	1.5	1	0.833	1
105	1	0	1	1	0	0	0	0	1.5	38	0	0.167	0.333	0	1	0	2	40	0.167	1
110	1	1	1	1	0	1	0	0	1.417	36.2	0	0.25	0.25	0	0	0	2	90	0.117	0
113	1	0	2	1	1	0	0	1	2	10	1	0.167	0.5	0	0	1	2	17.5	0.083	0
116	1	0	2	1	1	1	1	1	1.5	35	0	0.167	0.167	0	0	0	2.5	30	0.083	0
117	1	0	2	0	0	0	0	1	1.75	30	0	0.167	0.167	0	1	0	1.75	10	0.167	0
118	1	0	6	1	0	0	1	1	2	30.5	2	0.117	0.083	0	1	0	2	1.875	0.083	1
121	1	0	1	0	1	0	1	0	1.5	30	0	0.167	0.167	0	0	0	1.583	35	0.033	1
122	1	0	1	0	1	0	1	0	1.5	21.7	0	0.167	0.05	1	0	0	1.5	15	0.083	1
123	1	1	2	0	0	1	1	0	2	37	1	0.25	0.25	0	0	1	2	25	0.033	1
124	1	0	1	1	1	0	0	1	1.25	20.7	0	0.25	0.333	0	0	0	1.5	15	0.017	1
125	1	0	4	1	0	1	1	0	2.333	10	2	0.083	0.167	0	0	1	2	12.5	0.017	1
126	1	1	1	0	0	1	1	1	1.75	45	1	0.167	0.167	0	1	0	1.75	12	0.05	0
128	1	0	1	0	0	0	0	0	2.5	36	1	0.167	0.75	1	1	0	2	14	0	1
129	1	0	2	0	0	1	0	1	2.5	40	2	0.083	0.167	1	0	0	2	15	0.15	0
131	1	0	1	0	0	0	0	1	1.833	27	0	0.083	0.5	0	1	0	2.5	30	0.083	0
145	1	0	2	0	1	0	0	1	1.75	48	1	0.333	0.117	0	0	0	1.5	12.5	0.083	0
147	1	0	1	1	0	1	0	1	1.75	35	0	0.167	0.2	0	0	0	2	35	0.25	1
154	1	1	2	0	1	0	1	0	2	40.2	1	0.167	0.167	1	0	0	1.5	15	0.017	1
156	1	0	3	0	1	1	0	1	1.25	31	0	0.167	0.5	0	0	0	1.5	25	0.017	1
162	1	0	1	1	1	1	0	1	2	25	1	0.117	0.25	0	0	0	2	40.5	0.017	1
168	1	0	4	1	0	1	1	0	2.5	30	0	0.083	0.25	1	0	0	3	5	0	1
169	1	1	1	0	0	0	1	1	2	41.6	1	0.167	0.083	0	1	0	1.5	35	0.033	0
172	1	0	2	1	0	0	1	1	1.583	35	0	0.25	0.333	0	0	0	2	8.75	0.167	0
174	1	0	2	1	1	1	0	1	2	32	1	0.083	0	0	1	0	1.5	20	0	1
175	1	1	1	0	0	1	1	1	1.583	36.2	0	0.167	0.417	1	0	0	1.333	30	0.017	1
179	1	0	5	0	1	0	0	1	1.5	36.2	0	0.167	0.5	0	0	0	2	10	0.333	0
181	1	0	1	1	1	1	0	1	1.75	27	2	0.333	0.167	1	0	0	2	50	0.017	1
185	1	0	1	1	0	1	1	0	1.667	52	0	0.25	0.167	0	0	1	1.5	65	0.167	1
190	1	0	3	0	0	1	0	1	1.583	35	0	0.083	0.333	0	0	0	1.75	14.667	0.083	1
194	1	1	4	0	0	0	1	0	2	23	1	0.167	0.25	0	1	0	2.5	6.25	0.167	0
196	1	0	3	0	0	1	1	1	1.5	35	0	0.5	0.25	1	1	0	1.667	11.667	0.083	0
200	1	1	1	0	0	0	1	0	1.5	35	0	0.167	0.167	1	0	0	2	25	0.017	1
203	1	0	6	0	0	0	0	0	1.333	50	1	0.25	0.25	0	0	0	2	4.167	0.167	0
208	1	0	3	0	0	1	1	1	1.5	35	2	0.167	0.083	0	1	0	1.75	3.333	0.083	1
213	1	1	4	0	0	1	1	1	1.5	26	0	0.167	0.25	0	0	0	1.5	3.75	0.083	1
214	1	1	2	0	0	1	1	0	1.667	25	0	0.117	0.167	1	0	0	1.75	10	0.083	0
217	1	0	2	0	1	0	0	1	1	40	0	0.333	0.167	0	1	0	2	10	0.333	0
219	1	0	5	0	1	0	0	1	2	35	2	0.083	0.333	1	0	1	1.25	6.4	0.033	0
220	1	0	6	0	1	0	0	1	2	30	1	0.167	0.167	0	0	0	1.5	2.083	0.167	0
223	1	0	3	0	0	0	1	0	1.5	35.7	1	0.167	0.167	1	0	0	2	16.667	0.017	1
227	1	1	1	0	0	1	1	0	1.5	47	1	0.25	0.083	1	0	0	1.5	72	0.033	0
230	1	0	1	0	1	0	0	0	1.75	30	0	0.2	0.017	0	1	0	1.25	30	0.017	1
